"Source","Destination","Size"
"Category_2__The_Cockroach_Masks_202606142356.jpeg","public\images\cwi\newsroom\hero\cwi-cockroach-masks-youth-protest-02.jpg","3922618"
"Category_2__The_Cockroach_Masks_202606142357 (1).jpeg","public\images\cwi\newsroom\hero\cwi-cockroach-masks-youth-protest-03.jpg","4137895"
"Category_2__The_Cockroach_Masks_202606142357 (2).jpeg","public\images\cwi\newsroom\hero\cwi-cockroach-masks-youth-protest-04.jpg","4048884"
"Category_2__The_Cockroach_Masks_202606142357 (3).jpeg","public\images\cwi\newsroom\hero\cwi-cockroach-masks-youth-protest-05.jpg","4034520"
"Category_2__The_Cockroach_Masks_202606142357 (4).jpeg","public\images\cwi\newsroom\hero\cwi-cockroach-masks-youth-protest-06.jpg","4118407"
"Category_2__The_Cockroach_Masks_202606142357 (5).jpeg","public\images\cwi\newsroom\hero\cwi-cockroach-masks-youth-protest-07.jpg","3036260"
"Category_2__The_Cockroach_Masks_202606142357 (6).jpeg","public\images\cwi\newsroom\hero\cwi-cockroach-masks-youth-protest-08.jpg","4140761"
"Category_2__The_Cockroach_Masks_202606142357.jpeg","public\images\cwi\newsroom\hero\cwi-cockroach-masks-youth-protest-09.jpg","4102144"
"Category_3__Exam_Leaks_&_202606142339 (1).jpeg","public\images\cwi\newsroom\hero\cwi-student-justice-paper-leak-01.jpg","3452942"
"Category_3__Exam_Leaks_&_202606142339 (2).jpeg","public\images\cwi\newsroom\hero\cwi-student-justice-paper-leak-02.jpg","3740441"
"Category_3__Exam_Leaks_&_202606142339 (3).jpeg","public\images\cwi\newsroom\hero\cwi-student-justice-paper-leak-03.jpg","3092177"
"Category_3__Exam_Leaks_&_202606142339 (4).jpeg","public\images\cwi\newsroom\hero\cwi-student-justice-paper-leak-04.jpg","3601885"
"Category_3__Exam_Leaks_&_202606142339 (5).jpeg","public\images\cwi\newsroom\hero\cwi-student-justice-paper-leak-05.jpg","3275186"
"Category_3__Exam_Leaks_&_202606142339.jpeg","public\images\cwi\newsroom\hero\cwi-student-justice-paper-leak-06.jpg","3518317"
"Category_3__The_Amritsar_Golden_202606142357 (1).jpeg","public\images\cwi\newsroom\hero\cwi-amritsar-golden-gate-protest-01.jpg","3504727"
"Category_3__The_Amritsar_Golden_202606142357 (2).jpeg","public\images\cwi\newsroom\hero\cwi-amritsar-golden-gate-protest-02.jpg","3214248"
"Category_3__The_Amritsar_Golden_202606142357 (3).jpeg","public\images\cwi\newsroom\hero\cwi-amritsar-golden-gate-protest-03.jpg","3552159"
"Category_3__The_Amritsar_Golden_202606142357 (4).jpeg","public\images\cwi\newsroom\hero\cwi-amritsar-golden-gate-protest-04.jpg","4095405"
"Category_3__The_Amritsar_Golden_202606142357 (5).jpeg","public\images\cwi\newsroom\hero\cwi-amritsar-golden-gate-protest-05.jpg","4151057"
"Category_3__The_Amritsar_Golden_202606142357 (6).jpeg","public\images\cwi\newsroom\hero\cwi-amritsar-golden-gate-protest-06.jpg","3289193"
"Category_3__The_Amritsar_Golden_202606142357 (7).jpeg","public\images\cwi\newsroom\hero\cwi-amritsar-golden-gate-protest-07.jpg","3586568"
"Category_3__The_Amritsar_Golden_202606142357.jpeg","public\images\cwi\newsroom\hero\cwi-amritsar-golden-gate-protest-08.jpg","3809125"
"Category_4__Night_Rallies._Focus_202606142339.jpeg","public\images\cwi\newsroom\hero\cwi-night-rallies-student-movement-01.jpg","3257950"
"Category_4__Night_Rallies._Low-angle_202606142339.jpeg","public\images\cwi\newsroom\hero\cwi-night-rallies-student-movement-02.jpg","3140582"
"Category_4__Night_Rallies._Thousands_202606142339.jpeg","public\images\cwi\newsroom\hero\cwi-night-rallies-student-movement-03.jpg","3462595"
"Category_4__Night_Rallies._Wide_202606142339.jpeg","public\images\cwi\newsroom\hero\cwi-night-rallies-student-movement-04.jpg","3818478"
"Category_5__Police_Standoff._Close-up_202606142339.jpeg","public\images\cwi\newsroom\hero\cwi-police-standoff-public-safety-01.jpg","3022699"
"Category_5__Police_Standoff._Tense,_202606142339.jpeg","public\images\cwi\newsroom\hero\cwi-police-standoff-public-safety-02.jpg","3276653"
"Category_5__Police_Standoff._View_202606142339.jpeg","public\images\cwi\newsroom\hero\cwi-police-standoff-public-safety-03.jpg","3710899"
